epoch,total loss,weather loss,terrain loss
0,326516.689,161064.9777,165451.7123
1,497.382992,133.5594938,363.8234987
2,5890.407838,2105.211579,3785.196243
3,1409.867878,124.9855222,1284.882413
4,683.8435512,141.6579925,542.185557
5,243.9897891,123.6042342,120.3855551
6,243.8290873,123.4235457,120.4055414
7,243.7828614,123.4242924,120.3585684
8,243.684483,123.3686994,120.3157828
9,243.7470913,123.3870376,120.3600542
10,243.7470322,123.364605,120.3824271
11,243.7691573,123.3862374,120.3829188
12,243.7263816,123.3647694,120.3616122
13,243.7485476,123.3650114,120.3835364
14,243.7056665,123.365249,120.340418
15,243.7710382,123.4087899,120.362248
16,243.7063789,123.3439945,120.3623842
17,243.6849828,123.3441529,120.3408309
18,243.6852148,123.3226256,120.3625894
19,243.7287259,123.3443998,120.3843245
20,243.7505407,123.4094762,120.3410657
21,243.8156556,123.431214,120.3844424
22,243.6857954,123.3229752,120.36282
23,243.7075452,123.3446891,120.3628556
24,243.7292775,123.3880525,120.3412251
,,,
,,,
Total training time: 59609.62944030762 seconds,,,
