epoch,total loss,weather loss,terrain loss
0,254.0356227,128.0337517,126.001871
1,246.8477276,124.6745152,122.1732111
2,243.9818043,124.3458635,119.6359408
3,243.2218705,124.2536598,118.9682099
4,241.6857442,123.3265189,118.3592259
5,242.8140429,123.8156815,118.9983615
6,241.6995257,123.1628908,118.536635
7,241.4515142,123.0351289,118.416386
8,242.0978453,123.1952748,118.9025706
9,242.1203812,123.0846127,119.0357699
10,241.9768235,123.0179697,118.9588536
11,241.9539443,123.0334904,118.9204532
12,241.7650716,122.926517,118.8385544
13,241.3234525,122.6529076,118.6705443
14,241.6371834,123.0763281,118.5608548
15,242.0112496,122.8688508,119.142398
16,241.5427992,122.7202901,118.8225093
17,241.4762806,122.5744488,118.9018309
18,240.8159925,122.1114487,118.7045437
19,240.7822454,122.206647,118.5755984
20,240.8477703,122.3952847,118.4524851
21,240.1985383,121.7943071,118.4042307
22,241.0267642,122.3362756,118.6904879
23,241.7936581,122.4878096,119.3058484
24,240.491566,122.0384851,118.4530813
